date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:46	155190/155190	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:53:24%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project7/2.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project7/2.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:49	278671/278671	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:43:38%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project3/3.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project3/3.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:11	437566/437566	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2005:47:48%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project4/13.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project4/13.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:15	183842/183842	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202019%2007:40:58%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project1/2.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project1/2.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:18	227756/227756	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:52:22%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project6/4.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project6/4.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:20	7055/7055	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2007:12:42%20GMT	http://theme.dsngrid.com/droow-l/assets/img/services/1-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/services/1-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:21	6542/6542	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2007:13:06%20GMT	http://theme.dsngrid.com/droow-l/assets/img/services/3-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/services/3-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:23	1734/1734	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202019%2004:09:32%20GMT	http://theme.dsngrid.com/droow-l/assets/img/avatar/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/avatar/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:23	1745/1745	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202019%2004:09:44%20GMT	http://theme.dsngrid.com/droow-l/assets/img/avatar/2.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/avatar/2.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:25	8325/8325	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Dec%202018%2021:06:58%20GMT	http://theme.dsngrid.com/droow-l/assets/img/avatar/3.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/avatar/3.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:25	91218/91218	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:49:34%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project5/4.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project5/4.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:33	43070/43070	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202019%2008:18:40%20GMT	http://theme.dsngrid.com/droow-l/assets/img/blog/2.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/blog/2.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:33	284961/284961	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:40:46%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project2/3.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project2/3.jpg	(from http://theme.dsngrid.com/droow-l/)
19:42:34	7776/7776	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2006:50:36%20GMT	http://theme.dsngrid.com/droow-l/assets/img/logo/1-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/logo/1-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:35	5709/5709	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2006:51:02%20GMT	http://theme.dsngrid.com/droow-l/assets/img/logo/2-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/logo/2-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:35	53390/53390	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202019%2008:18:48%20GMT	http://theme.dsngrid.com/droow-l/assets/img/blog/3.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/blog/3.jpg	(from http://theme.dsngrid.com/droow-l/)
